9-9  Consumption of Energy by Sector (2012),,,,,,,,,,,,,
,,,,,,,,,,,,,
Sector,Total,,,,,,,,,,,,
,Energy,Coal,Coke,Crude Oil,Gasoline,Kerosene,Diesel Oil,Fuel Oil,Natural Gas,Electricity,,,
"   Manufacture of Computers, Communication and",2666.75,245.44,2.40,,13.92,0.31,19.71,3.19,6.88,765.87,,,
      Other Electronic Equipment,,,,,,,,,,,,,
   Manufacture of Measuring Instruments and Machinery,311.26,30.73,4.17,,4.97,0.20,5.09,0.36,0.54,81.14,,,
   Other Manufacture,1616.47,539.82,0.50,,1.84,0.02,3.77,0.29,0.67,437.98,,,
   Utilization of Waste Resources,107.36,14.42,20.04,,0.64,0.01,3.58,1.28,0.20,20.27,,,
"   Repair Service of Metal Products, Machinery and Equipment",81.35,11.35,12.47,,1.91,1.81,3.95,0.26,0.57,13.23,,,
" Electric Power, Gas and Water Production and Supply",25618.17,175411.61,8.02,2.46,33.90,0.03,78.23,22.70,234.52,7017.84,,,
   Production and Supply of Electric Power and Heat Power,23809.24,174273.38,0.49,2.46,27.76,0.03,74.17,22.51,225.02,6566.61,,,
   Production and Supply of Gas,693.64,1074.57,7.49,,2.64,,2.33,0.19,9.32,108.90,,,
   Production and Supply of Water,1115.29,63.66,0.04,,3.50,,1.73,,0.18,342.33,,,
Construction                                             ,6167.37,753.41,6.31,,286.87,7.89,518.01,27.05,1.26,608.40,,,
"Transport, Storage and Post ",31524.71,614.26,0.09,119.40,3753.03,1787.09,10727.03,1383.94,154.51,915.37,,,
"Wholesale, Retail Trade and Hotel ,Restaurants",8545.86,2362.00,6.66,,200.06,28.64,229.00,8.69,38.69,1691.49,,,
Others                                                   ,16580.77,2283.19,1.94,,1460.51,74.17,1444.72,19.94,32.88,3083.64,,,
Residential Consumption                                  ,39666.09,9153.44,37.93,,1666.52,25.58,964.09,,288.27,6218.96,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
